topic1,topci2,topci3,topci4,topci5,topci6,topci7,topci8,topci9,topci10
0.01923422,0.386754125,0.01923549,0.019235281,0.019235082,0.217566013,0.260928214,0.019233273,0.019236943,0.019235779
0.099684682,0.113801811,0.115238493,0.112781949,0.111388356,0.055565303,0.064424203,0.08404514,0.156338117,0.082556234
0.088532471,0.149713756,0.13427196,0.058443383,0.124424622,0.068687094,0.089516599,0.098797688,0.084574433,0.090384338
0.060425178,0.221191234,0.142691832,0.062674831,0.121567121,0.070482437,0.141868405,0.103223924,0.056690598,0.032512059
0.063528885,0.307962496,0.067508269,0.110067425,0.124803272,0.045676633,0.058248783,0.060561367,0.052886233,0.115729342
0.020003617,0.819956601,0.020003531,0.020003477,0.020006809,0.020002706,0.020003693,0.020011257,0.020005664,0.020003492
0.108997058,0.21005195,0.118912778,0.054386936,0.11113538,0.121840454,0.067810945,0.096703867,0.052836233,0.060078658
0.090242721,0.208730034,0.099171599,0.057020315,0.105636081,0.144476178,0.080556172,0.125233292,0.031843925,0.062721619
0.123009754,0.159280079,0.11863738,0.068907113,0.093646767,0.142473012,0.077119968,0.101572169,0.052550335,0.072526601
0.184998156,0.081314669,0.064017378,0.081004987,0.073927638,0.083529821,0.051260383,0.112803689,0.224815087,0.045880544
0.143691675,0.026327654,0.070068577,0.086886277,0.153135866,0.081688105,0.133483167,0.175790078,0.085623848,0.043433636
0.135696834,0.166311476,0.0362183,0.115442737,0.080796554,0.074273431,0.062939989,0.209892719,0.091193448,0.027228637
0.330125711,0.009683075,0.07131429,0.009681949,0.07954252,0.009682989,0.276336429,0.096651612,0.009686769,0.107516642
0.067792352,0.077800145,0.14822415,0.164661018,0.013040857,0.220483174,0.122256072,0.025935669,0.013041092,0.146624802
0.064232196,0.183348204,0.102417844,0.071489947,0.090953007,0.117313471,0.10790124,0.084904834,0.1012552,0.079647613
0.096084461,0.086365376,0.099127415,0.042315772,0.072784527,0.115849942,0.069560985,0.178654216,0.147861501,0.065319584
0.019125789,0.030227363,0.102413993,0.019125687,0.059744589,0.310593695,0.074433573,0.201135683,0.086880805,0.096306859
0.069206916,0.068011003,0.080763308,0.127801337,0.07311804,0.085017449,0.167641728,0.081619214,0.156280285,0.094515881
0.142033562,0.022265144,0.043347343,0.022263131,0.047204782,0.022266452,0.186909757,0.375573448,0.069526684,0.068625556
0.230634368,0.078992076,0.120404247,0.009019495,0.009019924,0.065740405,0.125023984,0.182475721,0.135531965,0.04314141
0.219564686,0.195784593,0.022469292,0.022470004,0.022470199,0.049373146,0.022469453,0.022477965,0.400452676,0.022469361
0.038461949,0.038462889,0.038461184,0.038462242,0.03846157,0.038463369,0.038464875,0.653828025,0.038473216,0.038462281
0.016461963,0.0164569,0.016455827,0.198909983,0.016457513,0.016456407,0.016269779,0.016462535,0.325652868,0.179773614
0.02055396,0.187197099,0.020552799,0.097576853,0.020553273,0.236631812,0.259010805,0.092285429,0.045116697,0.020557078
0.237316134,0.022004173,0.022000506,0.022000733,0.201855501,0.185198536,0.212275775,0.022001385,0.205174556,0.036962012
0.093651029,0.020572199,0.04462709,0.020572068,0.044589258,0.097540316,0.213322656,0.230807116,0.179043341,0.055278636
0.115518292,0.015509568,0.015509839,0.015508503,0.01552012,0.015508948,0.390466847,0.385398585,0.015511014,0.01550803
0.093553376,0.057293717,0.042882712,0.049247707,0.08219033,0.084999837,0.171131987,0.149188844,0.126560939,0.141057488
0.042796725,0.275570771,0.055081345,0.026530583,0.13291902,0.076536825,0.026539872,0.149957849,0.143276256,0.070743671
0.061059738,0.055465811,0.025223333,0.042343188,0.100909917,0.125186304,0.322262941,0.09039753,0.125581793,0.049219621
0.014767962,0.01476778,0.014767931,0.014767714,0.014767957,0.014768114,0.014767818,0.867088735,0.014768033,0.014768021
0.112945729,0.059075813,0.027624248,0.052799788,0.077371663,0.106115051,0.162743448,0.289341827,0.029807054,0.072697546
0.083487201,0.019119269,0.029400476,0.20386317,0.019107976,0.032738298,0.206023429,0.030949482,0.171838148,0.203494109
0.060764447,0.054386546,0.068024935,0.079790682,0.065073749,0.084337179,0.167274183,0.137265325,0.199197696,0.08555615
0.102493407,0.038120798,0.076226158,0.10395457,0.072443773,0.077620477,0.130062914,0.15178909,0.193526625,0.064831095
0.025614462,0.311147423,0.025614295,0.114429051,0.025614313,0.025614332,0.288011801,0.025616007,0.132748944,0.025618626
0.005557673,0.00555724,0.005557571,0.005557306,0.005558089,0.005557543,0.831530869,0.005557611,0.005557902,0.12403962
0.029782895,0.029783257,0.1547782,0.154775648,0.029783807,0.249504634,0.150036876,0.029785203,0.141497128,0.0297825
0.050002314,0.050003134,0.050001603,0.050000887,0.050000887,0.050001226,0.549987197,0.050000887,0.050000992,0.050000887
0.050002313,0.050003107,0.050001604,0.050000887,0.050000887,0.050001227,0.549987167,0.050000887,0.050000993,0.050000887
0.0500023,0.050003139,0.050001603,0.050000888,0.050000889,0.050001227,0.549987237,0.050000888,0.050000992,0.050000888
0.033334764,0.033334975,0.03333458,0.033334389,0.033334389,0.033334481,0.6999892,0.033334389,0.033334417,0.033334389
0.050002301,0.050003153,0.050001604,0.050000888,0.050000888,0.050001226,0.549987189,0.050000888,0.050000992,0.050000888
0.05000231,0.050003212,0.050001603,0.050000887,0.050000887,0.050001226,0.549987137,0.050000887,0.050000992,0.050000887
0.050002288,0.050003089,0.050001603,0.050000887,0.050000887,0.050001226,0.549987197,0.050000887,0.050000992,0.050000887
0.050002303,0.050003212,0.050001603,0.050000891,0.050000887,0.050001226,0.549987257,0.050000891,0.050000992,0.050000887
0.050002305,0.050003115,0.050001603,0.050000887,0.050000887,0.050001226,0.549987078,0.050000887,0.050000994,0.050000887
0.050002303,0.05000313,0.050001603,0.050000887,0.050000887,0.050001226,0.549987197,0.050000887,0.050000992,0.050000887
0.050002302,0.050003134,0.050001603,0.050000887,0.050000888,0.050001226,0.549987177,0.050000887,0.050000992,0.050000887
0.050002342,0.050003218,0.050001603,0.050000887,0.050000887,0.050001228,0.549987197,0.050000887,0.050000992,0.050000889
0.04843975,0.048440604,0.048439109,0.048438396,0.048438417,0.048438853,0.534732122,0.07776162,0.048438601,0.048438375
0.050002299,0.050003089,0.050001606,0.050000887,0.050000887,0.05000123,0.549987018,0.050000887,0.050000992,0.050000887
0.050002301,0.050003083,0.050001603,0.050000887,0.050000887,0.050001226,0.549987197,0.050000887,0.050000992,0.050000887
0.021813598,0.02181462,0.02181552,0.021813814,0.332659006,0.02181373,0.493059099,0.021817211,0.021813707,0.021813309
0.050002307,0.05000326,0.050001606,0.050000887,0.050000887,0.05000123,0.549986959,0.050000891,0.050000992,0.050000887
0.050009903,0.050018142,0.174988993,0.050008415,0.050013235,0.050017294,0.050005534,0.050004061,0.050004479,0.424927907
0.050005045,0.549898565,0.050009377,0.050011218,0.050019801,0.050012127,0.050012123,0.050004359,0.050004061,0.050024912
0.050005045,0.549887896,0.050009333,0.05001124,0.050021634,0.050013267,0.050011057,0.050004344,0.050004438,0.549885511
0.050019517,0.050007199,0.050007202,0.050007206,0.050007197,0.050012324,0.549916899,0.050007215,0.050007191,0.050007208
0.05002017,0.050007202,0.050007213,0.050007211,0.050007194,0.050012325,0.549916387,0.050007193,0.050007197,0.050007194
0.04268796,0.042681206,0.042682048,0.042680226,0.042691074,0.042677447,0.615927279,0.042687129,0.042685036,0.042674653
